Reviewer,Date of Review,Name,Giant Bomb Score
Ryan,2009-01-07 14:00:00,Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness - Episode Two,4
Ryan,2009-01-09 15:00:00,Interpol: The Trail of Dr. Chaos,1
Jeff,2009-01-14 17:00:00,Lumines Supernova,3
Jeff,2009-01-17 10:00:00,The King of Fighters Collection: The Orochi Saga,3
Brad,2009-01-26 18:00:00,The Lord of the Rings: Conquest,2
Jeff,2009-01-26 15:00:00,Skate 2,4
Vinny,2009-01-29 12:00:00,The Maw,4
Jeff,2009-02-02 13:00:00,Afro Samurai,3
Brad,2009-02-12 17:00:00,Ninjatown,4
Brad,2009-02-09 11:00:00,R-Type Dimensions,4
Brad,2009-02-11 18:00:00,Flower,5
Ryan,2009-02-12 15:00:00,F.E.A.R. 2: Project Origin,4
Jeff,2009-02-13 13:00:00,Retro Game Challenge,3
Jeff,2009-02-16 13:00:00,Sonic's Ultimate Genesis Collection,3
Jeff,2009-02-24 08:00:00,50 Cent: Blood on the Sand,3
Jeff,2009-02-26 17:00:00,Killzone 2,5
Brad,2009-03-02 13:00:00,Halo Wars,4
Dave,2009-03-04 16:00:00,"Warhammer 40,000: Dawn of War II",4
Jeff,2009-03-09 13:00:00,Tom Clancy's H.A.W.X,3
Dave,2009-03-11 17:00:00,Empire: Total War,4
Jeff,2009-03-12 12:00:00,Eat Lead: The Return of Matt Hazard,2
Vinny,2009-03-12 11:00:00,Peggle,4
Brad,2009-03-12 19:00:00,Resident Evil 5,5
Jeff,2009-03-19 14:00:00,MadWorld,3
Jeff,2009-03-23 14:00:00,Grand Theft Auto: Chinatown Wars,5
Jeff,2009-03-27 18:00:00,WWE Legends of WrestleMania,3
Jeff,2009-03-30 11:00:00,Wanted: Weapons of Fate,3
Brad,2009-03-30 17:00:00,Resistance: Retribution,4
Jeff,2009-03-31 20:00:00,UNO Rush,4
Jeff,2009-04-03 10:00:00,Rhythm Heaven,5
Brad,2009-04-04 09:00:00,Burn Zombie Burn!,4
Ryan,2009-03-09 18:00:00,Watchmen: The End is Nigh,2
Brad,2009-04-06 23:00:00,The Chronicles of Riddick: Assault on Dark Athena,4
Jeff,2009-04-07 11:00:00,Master of Illusion Express: Funny Face,1
Jeff,2009-04-07 11:00:00,Bird & Beans,4
Jeff,2009-04-07 16:00:00,Art Style: AQUIA,4
Jeff,2009-04-07 17:00:00,Brain Age Express: Math,2
