Reviewer,Date of Review,Name,Giant Bomb Score
Ryan,2011-11-29 14:00:00,Mario Kart 7,3
Alex,2011-12-06 16:00:00,To the Moon,4
Jeff,2011-12-07 12:00:00,Skylanders: Spyro's Adventure,4
Alex,2011-12-15 13:00:00,Blackwater,1
Brad,2011-12-24 13:00:00,Trine 2,4
Brad,2012-01-12 16:00:00,All Zombies Must Die!,3
Jeff,2012-01-24 18:00:00,Saints Row: The Third,2
Alex,2012-02-02 13:00:00,NeverDead,2
Brad,2012-02-06 18:00:00,Resident Evil: Revelations,3
Alex,2012-02-07 11:00:00,The Darkness II,4
Jeff,2012-02-07 13:00:00,Kingdoms of Amalur: Reckoning,4
Brad,2012-02-11 10:00:00,Gotham City Impostors,4
Jeff,2012-02-13 06:00:00,Uncharted: Golden Abyss,3
Jeff,2012-02-13 06:00:00,Super Stardust Delta,4
Jeff,2012-02-16 15:00:00,WipEout 2048,3
Alex,2012-02-16 13:00:00,Rayman Origins,5
Jeff,2012-02-16 18:00:00,Lumines: Electronic Symphony,4
Brad,2012-02-17 14:00:00,Warp,3
Alex,2012-02-17 16:00:00,Escape Plan,3
Jeff,2012-02-21 09:00:00,Syndicate,5
Alex,2012-02-21 16:00:00,Touch My Katamari,3
Alex,2012-02-22 13:00:00,Rhythm Heaven Fever,5
Patrick,2012-02-22 13:00:00,Alan Wake's American Nightmare,3
Ryan,2012-02-22 14:00:00,Grand Slam Tennis 2,3
Brad,2012-02-25 15:00:00,Asura's Wrath,4
Alex,2012-02-28 13:00:00,SSX,4
Jeff,2012-03-06 00:00:00,Mass Effect 3,4
Alex,2012-03-13 12:00:00,Journey,5
Brad,2012-03-14 10:00:00,I Am Alive,2
Jeff,2012-03-19 16:00:00,Street Fighter X Tekken,3
Alex,2012-03-23 14:00:00,Ninja Gaiden 3,2
Brad,2012-03-28 14:00:00,Sine Mora,3
Jeff,2012-03-27 13:00:00,Ridge Racer,2
Alex,2012-04-04 12:00:00,South Park: Tenorman's Revenge,1
Brad,2012-04-05 15:00:00,Kinect Star Wars,2
Alex,2012-04-13 13:00:00,The Splatters,3
Jeff,2012-04-16 10:00:00,Fez,4
Brad,2012-04-19 15:00:00,Trials Evolution,5
Jeff,2012-04-20 16:00:00,The Pinball Arcade,4
Alex,2012-04-25 11:00:00,Bloodforge,2
Jeff,2012-05-01 20:00:00,Mortal Kombat,5
Brad,2012-05-09 13:00:00,Minecraft,4
Ryan,2012-05-14 09:00:00,Max Payne 3,4
Brad,2012-05-22 19:00:00,Diablo III,5
Alex,2012-05-23 12:00:00,Game of Thrones,2
Jeff,2012-05-18 15:00:00,Prototype 2,3
Patrick,2012-05-24 18:00:00,Dragon's Dogma,3
Jeff,2012-05-30 14:00:00,Tom Clancy's Ghost Recon: Future Soldier,3
Alex,2012-06-11 13:00:00,Gravity Rush,3
Alex,2012-06-18 12:00:00,Sid Meier's Civilization V: Gods & Kings,4
Brad,2012-06-19 16:00:00,Steel Battalion: Heavy Armor,1
Brad,2012-06-29 10:00:00,LEGO Batman 2: DC Super Heroes,3
Jeff,2012-06-29 14:00:00,Spec Ops: The Line,3
Alex,2012-07-03 12:00:00,Spelunky,4
Brad,2012-07-05 12:00:00,Theatrhythm Final Fantasy,4
Brad,2012-07-10 12:00:00,The Elder Scrolls V: Skyrim,4
Jeff,2012-07-18 14:00:00,Tony Hawk's Pro Skater HD,3
Brad,2012-07-31 08:00:00,Deadlight,3
Alex,2012-08-03 12:00:00,The Expendables 2,2
Jeff,2012-08-07 12:00:00,Persona 4 Arena,4
Alex,2012-08-10 13:00:00,Sound Shapes,5
Alex,2012-08-14 12:00:00,Sleeping Dogs,4
Jeff,2012-08-14 12:00:00,Darksiders II,4
Alex,2012-08-17 15:00:00,Papo & Yo,3
Brad,2012-08-23 18:00:00,Hybrid,4
Brad,2012-08-20 16:00:00,Dust: An Elysian Tail,5
Jeff,2012-08-21 10:00:00,Transformers: Fall of Cybertron,3
Ryan,2012-08-27 09:00:00,Rock Band Blitz,4
Alex,2012-08-27 15:00:00,Madden NFL 13,3
Jeff,2012-09-11 13:00:00,Tekken Tag Tournament 2,4
Alex,2012-09-12 15:00:00,NHL 13,4
Jeff,2012-09-17 21:00:00,Borderlands 2,4
Brad,2012-09-21 15:00:00,Mark of the Ninja,5
Alex,2012-09-26 12:00:00,Fire Pro Wrestling,2
Patrick,2012-10-01 13:00:00,Tokyo Jungle,4
Brad,2012-10-03 15:00:00,Resident Evil 6,2
Patrick,2012-10-07 21:00:00,Dishonored,4
Alex,2012-10-08 18:00:00,NBA 2K13,4
Brad,2012-10-09 06:00:00,Fable: The Journey,3
Jeff,2012-10-12 00:00:00,Forza Horizon,5
Ryan,2012-10-16 10:00:00,XCOM: Enemy Unknown,5
Alex,2012-10-18 13:00:00,007 Legends,2
Brad,2012-10-22 11:00:00,Doom 3,3
Brad,2012-10-27 13:00:00,Medal of Honor: Warfighter,3
Jeff,2012-10-30 06:00:00,Need for Speed: Most Wanted,4
Alex,2012-10-30 12:00:00,WWE '13,4
Jeff,2012-11-01 00:00:00,Halo 4,4
Alex,2012-11-02 15:00:00,Assassin's Creed III: Liberation,3
Alex,2012-11-05 14:00:00,Hotline Miami,5
Ryan,2012-11-06 12:00:00,Assassin's Creed III,4
Jeff,2012-11-13 00:00:00,Call of Duty: Black Ops II,4
Jeff,2012-11-14 12:00:00,Call of Duty: Black Ops Declassified,1
Brad,2012-11-18 15:00:00,New Super Mario Bros. U,3
Brad,2012-11-18 15:00:00,Nintendo Land,4
Alex,2012-11-19 15:00:00,Hitman: Absolution,4
Patrick,2012-11-20 14:00:00,ZombiU,4
Alex,2012-11-26 12:00:00,The Walking Dead,5
Jeff,2012-11-27 13:00:00,PlayStation All-Stars Battle Royale,3
Alex,2012-11-29 15:00:00,Adventure Time: Hey Ice King! Why’d you steal our garbage?!!,3
Brad,2012-12-04 12:00:00,Far Cry 3,5
Alex,2012-12-04 13:00:00,Family Guy: Back to the Multiverse,1
Brad,2013-01-14 15:00:00,DmC Devil May Cry,5
Alex,2013-01-22 12:00:00,The Cave,3
Brad,2013-02-05 14:00:00,Dead Space 3,3
Jeff,2013-02-12 09:50:00,Antichamber,4
Alex,2013-02-13 11:03:00,Aliens: Colonial Marines,1
Jeff,2013-02-19 00:00:00,Metal Gear Rising: Revengeance,4
Brad,2013-02-28 12:45:00,Tomb Raider,4
Jeff,2013-02-28 18:55:00,Crysis 3,3
Alex,2013-03-06 14:27:00,SimCity,3
Brad,2013-03-16 17:00:00,StarCraft II: Heart of the Swarm,5
Jeff,2013-03-17 21:01:00,Gears of War: Judgment,3
Alex,2013-03-21 13:19:00,The Walking Dead: Survival Instinct,1
Alex,2013-03-21 15:45:00,Luigi's Mansion: Dark Moon,4
Jeff,2013-03-25 18:44:00,BioShock Infinite,5
Alex,2013-04-09 11:00:00,Guacamelee!,4
Jeff,2013-04-16 12:24:00,Injustice: Gods Among Us,4
Brad,2013-04-22 13:39:00,Dead Island Riptide,2
Alex,2013-04-24 12:30:00,Monaco: What's Yours Is Mine,4
Alex,2013-04-26 08:50:00,Star Trek: The Video Game,2
Jeff,2013-04-30 12:32:00,Far Cry 3: Blood Dragon,4
Patrick,2013-05-13 11:26:00,Metro: Last Light,4
Brad,2013-05-28 00:01:00,Fuse,3
Alex,2013-06-03 13:49:00,Remember Me,3
Patrick,2013-06-05 07:00:00,The Last of Us,5
Alex,2013-06-26 12:31:00,Deadpool,2
Alex,2013-07-17 11:37:00,Sid Meier's Civilization V: Brave New World,4
Patrick,2013-08-05 15:32:00,Shadowrun Returns,4
Brad,2013-09-19 16:15:00,Brothers: A Tale of Two Sons,5
Patrick,2013-08-15 11:05:00,Gone Home,5
Jeff,2013-08-14 06:00:00,Saints Row IV,4
Alex,2013-08-14 12:30:00,Pikmin 3,4
Alex,2013-08-23 12:41:00,The Bureau: XCOM Declassified,3
Alex,2013-08-27 13:15:00,Madden NFL 25,3
Alex,2013-09-04 09:30:00,Rayman Legends,5
Alex,2013-09-11 11:49:00,NHL 14,4
Jeff,2013-09-16 07:00:00,Grand Theft Auto V,5
Alex,2013-09-26 14:08:00,NBA 2K14,4
Alex,2013-10-08 10:47:00,Beyond: Two Souls,3
Jeff,2013-10-20 17:43:00,The Stanley Parable,4
Alex,2013-10-28 10:14:00,WWE 2K14,4
Jeff,2013-11-05 00:00:00,Call of Duty: Ghosts,3
Brad,2013-11-14 16:45:00,Resogun,4
Jeff,2013-11-17 12:24:00,Killzone: Shadow Fall,3
Alex,2013-11-18 12:28:00,Knack,2
Patrick,2013-11-20 16:20:00,Super Mario 3D World,5
Alex,2013-11-22 10:06:00,Madden NFL 25,3
Alex,2013-11-23 08:55:00,NBA 2K14,4
Brad,2013-11-23 17:00:00,Ryse: Son of Rome,3
Jeff,2013-11-24 11:23:00,Need for Speed Rivals,3
Jeff,2013-11-26 17:08:00,Killer Instinct,4
Patrick,2013-11-27 16:25:00,Tearaway,4
Brad,2013-11-29 10:00:00,Dead Rising 3,4
Alex,2013-12-03 14:37:00,Assassin's Creed IV: Black Flag,4
Jeff,2013-12-05 17:46:00,Forza Motorsport 5,3
Alex,2013-12-11 16:16:00,NBA Live 14,1
Alex,2014-01-16 12:24:00,The Banner Saga,4
Alex,2014-01-30 10:00:00,Octodad: Dadliest Catch,4
Alex,2014-02-07 11:08:00,Jazzpunk,5
Brad,2014-02-18 15:00:00,The Last of Us,5
Jeff,2014-02-19 17:54:00,Strider,3
Patrick,2014-02-20 13:06:00,Assassin's Creed: Freedom Cry,4
Alex,2014-02-24 14:42:00,Thief,2
Alex,2014-03-04 00:01:00,South Park: The Stick of Truth,5
Jeff,2014-03-10 09:00:00,Titanfall,4
Patrick,2014-03-11 11:20:00,Danganronpa: Trigger Happy Havoc,3
Patrick,2014-03-13 08:01:00,Yoshi's New Island,3
Alex,2014-03-19 12:18:00,Luftrausers,4
Jeff,2014-03-20 07:00:00,inFamous: Second Son,4
Brad,2014-03-21 14:30:00,Metal Gear Solid V: Ground Zeroes,4
Alex,2014-05-07 13:50:00,Child of Light,3
Alex,2014-05-15 13:30:00,Mario Kart 8,4
Patrick,2014-05-21 11:06:00,Tesla Effect,3
Alex,2014-05-21 13:40:00,Wolfenstein: The New Order,4
Jeff,2014-05-27 00:01:00,Watch Dogs,3
Patrick,2014-06-26 17:58:00,Shovel Knight,4
Alex,2014-07-02 13:30:00,Valiant Hearts: The Great War,4
Jeff,2014-08-18 13:58:00,Diablo III: Ultimate Evil Edition,4
Patrick,2014-08-21 16:31:00,Divinity: Original Sin,4
Alex,2014-08-27 10:55:00,Madden NFL 15,4
Alex,2014-09-11 11:31:00,NHL 15,2
Jeff,2014-09-12 11:29:00,Destiny,3
Dan,2014-09-18 11:00:00,Hyrule Warriors,3
Dan,2014-09-26 14:56:00,Super Smash Bros.,4
Patrick,2014-10-01 10:00:00,Danganronpa 2: Goodbye Despair,3
Brad,2014-09-30 15:00:00,Middle-earth: Shadow of Mordor,5
Alex,2014-09-30 14:25:00,D4: Dark Dreams Don't Die,4
Jeff,2014-10-01 18:05:00,Forza Horizon 2,4
Patrick,2014-10-06 17:04:00,Alien: Isolation,4
Jeff,2014-10-07 18:22:00,Driveclub,2
Dan,2014-10-13 20:22:00,Bayonetta 2,5
Alex,2014-10-29 10:50:00,Sid Meier's Civilization: Beyond Earth,3
Patrick,2014-10-29 12:04:00,The Evil Within,2
Brad,2014-10-31 14:45:00,Sunset Overdrive,4
Jeff,2014-11-03 00:00:00,Call of Duty: Advanced Warfare,4
Alex,2014-11-05 09:14:00,NBA 2K15,3
Alex,2014-11-05 09:33:00,NBA Live 15,2
Alex,2014-11-13 12:13:00,Assassin's Creed: Unity,2
Matt,2014-11-18 14:02:00,Dragon Age: Inquisition,4
Jeff,2014-11-18 15:17:00,Far Cry 4,4
Alex,2014-11-20 08:30:00,WWE 2K15,2
Dan,2014-11-21 13:40:00,Super Smash Bros.,4
Dan,2014-12-01 07:00:00,Captain Toad: Treasure Tracker,3
Brad,2014-12-02 16:30:00,Geometry Wars 3: Dimensions,4
